snr,strategy,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual,accuracy
0.5,NarrativeRegimes,0.037448051716512595,0.0767412676142142,0.0350649285797886,0.22736204729149956,0.3479199763425736,-0.16000160488192727,0.21915360540079998,0.5309468216041289,0.022912315093895463,0.5154320987654321
0.5,RegimeOnly,0.03649258359010275,0.07698920956608775,0.03401731595337831,0.21421941702032246,0.28110160614663743,-0.2610839522774945,0.13029263444435232,0.3946837400458739,0.021081779001298706,0.6388888888888888
0.5,NarrativeRegimes,0.04200514413119564,0.0972193425638009,0.03794712768183728,0.2263453295495657,0.35882928329933156,-0.2073962410691943,0.18296921625101611,0.808929949941002,0.018446685357018433,0.3888888888888889
0.5,RegimeOnly,0.04067659086859022,0.09088562044832425,0.037188480787183176,0.22750123470133002,0.36645534228831567,-0.2857157617597166,0.1301590103329974,0.5812306765282466,0.020261367010905307,0.24074074074074073
0.5,NarrativeRegimes,0.009285144754701324,0.10718849623011398,0.0034929288319205387,-0.09996273501492038,-0.13643127074239605,-0.4857866222341003,0.007190253234757252,0.8370284686510814,-0.020423249869711335,0.4382716049382716
0.5,RegimeOnly,0.015281651055024218,0.0945024340707388,0.010853926697278471,-0.04992833244320367,-0.07022451442586133,-0.4381023076374839,0.02477486766917411,0.42616563559493287,-0.007485032091713917,0.3734567901234568
0.5,NarrativeRegimes,0.01863576647936398,0.07577778809719597,0.015885158426536705,-0.01800307919896255,-0.02801610339757866,-0.38727925118660633,0.041017323747309695,0.0960593097158184,0.004231536388589641,0.5709876543209876
0.5,RegimeOnly,0.018653300499958846,0.07562149451010375,0.015915277400219363,-0.017808422178977483,-0.02770125735596843,-0.38694583370898983,0.04113050461783434,0.06031571827118438,0.004312808198051465,0.5740740740740741
0.5,NarrativeRegimes,0.04525708027637784,0.07521591824953058,0.043271185906880394,0.33579434864554714,0.504107650206443,-0.13464867799205504,0.3213636149434279,0.3830613504218186,0.031448305303918955,0.5277777777777778
0.5,RegimeOnly,0.05505745848231521,0.07394121875686624,0.05362824079954365,0.47412605677479097,0.8047273086480458,-0.1338107847063923,0.40077667070867845,0.2821263144943081,0.04241151762957451,0.49382716049382713
0.5,NarrativeRegimes,0.028785223389839854,0.08884880049011941,0.02513475219069461,0.09887835672938351,0.14862111537751652,-0.38070838894332704,0.06602100957233231,0.7349690846153845,0.00900173250557379,0.691358024691358
0.5,RegimeOnly,0.032470646120056804,0.08235060805818453,0.029492172983083265,0.1514335645372006,0.24123596003320102,-0.3552828908190435,0.0830103946607002,0.44769585703821263,0.015727824905833687,0.28703703703703703
0.5,NarrativeRegimes,0.04281876544095222,0.09686595083215,0.038778348696423715,0.2355705513126355,0.3199418063073696,-0.3759662761134862,0.10314315713976002,0.429572476152306,0.01881036755495047,0.5864197530864198
